user_id,post_id,rating
2,5109,1
2,9021,1
2,9070,1
2,9090,1
2,9386,1
2,9480,1
2,9553,1
2,9597,1
2,9607,1
2,9642,1
2,9655,1
2,9668,1
2,9720,1
2,9887,1
2,9928,1
2,9945,1
2,10090,1
2,10211,1
2,10230,1
2,10335,1
2,10391,1
2,10612,1
2,10627,1
2,10698,1
2,10729,1
2,10812,1
2,11489,1
2,11511,1
2,11522,1
2,11926,1
2,11972,1
2,12077,1
3,4128,1
3,4376,1
3,4794,1
3,9720,1
4,5109,1
4,6724,1
4,10090,1
4,10627,1
4,10812,1
9,9597,1
9,9893,1
9,9924,1
9,10037,1
9,10066,1
9,10515,1
9,10609,1
9,10682,1
9,10687,1
9,10941,1
9,11138,1
9,11178,1
9,11274,1
11,5109,1
11,9446,1
11,9644,1
11,9663,1
11,10090,1
11,10707,1
11,10960,1
11,11182,1
11,11489,1
11,11511,1
12,6724,1
12,8110,1
12,9848,1
12,10031,0
12,10612,1
12,10852,1
12,11304,1
12,11339,1
12,11457,1
12,11489,1
14,1657,1
14,1962,1
14,2506,1
14,3389,1
14,4124,1
14,4278,1
14,4672,1
14,5535,1
14,6668,1
14,7663,1
14,8479,1
14,9331,1
14,9963,1
14,10515,1
14,10941,1
14,11489,1
14,11511,1
14,11639,1
14,11661,1
15,953,1
16,5610,1
16,6724,1
16,8150,1
16,9386,1
16,9642,1
16,9655,1
16,10230,1
16,10466,1
20,796,0
21,1969,1
21,5312,1
21,6724,1
21,9200,1
21,9386,1
21,9644,1
21,10658,1
21,10971,1
22,9651,1
24,9053,1
24,9386,1
24,9606,1
24,9663,1
24,9668,1
24,9721,1
24,9928,1
24,10090,1
24,10117,1
24,10548,1
24,10757,1
24,10812,1
24,11489,1
24,11511,1
26,1748,1
26,5109,1
26,8874,1
26,9405,1
26,9638,1
26,10090,1
26,11093,1
26,11153,1
29,9607,1
29,9720,1
31,35,1
31,1763,0
31,8528,1
31,9386,1
31,10135,1
34,9763,1
34,10211,1
37,3949,1
42,1657,1
42,1962,1
42,2506,1
42,3389,1
42,4124,1
42,4278,1
42,4672,1
42,6668,1
42,7663,1
42,8479,1
42,9331,1
42,9963,1
42,10515,1
42,10941,1
42,11639,1
45,4107,0
45,6494,1
45,9638,1
45,10376,0
50,1336,1
50,2501,1
50,3379,1
50,3882,1
50,4312,1
50,4725,1
50,8388,1
50,8998,1
50,9440,1
50,10627,1
50,11389,1
50,11522,1
50,11742,1
51,1657,1
51,1962,1
51,3389,1
51,3935,1
51,4124,1
51,4278,1
51,4672,1
51,5535,1
51,7663,1
51,8479,1
51,9331,1
51,9963,1
51,10515,1
51,10941,1
51,11639,1
54,9476,1
59,9551,0
61,7855,1
61,8514,1
61,8528,1
61,8929,1
61,8996,1
61,9386,1
61,9663,1
61,10026,1
61,11739,1
63,9222,1
63,9638,1
65,9386,1
65,9638,1
65,10751,1
66,6724,1
66,11522,1
67,10727,0
72,9607,1
74,9597,1
74,9606,1
74,11586,1
74,11601,1
77,9593,0
80,6724,1
82,8736,1
82,9759,1
84,9644,1
85,9386,1
86,9386,1
86,9655,1
86,9671,1
86,9732,1
86,10627,1
86,10812,1
86,11489,1
86,11511,1
86,11522,1
101,9607,1
102,35,1
102,5109,1
102,9386,1
110,4884,1
110,5109,1
110,6724,1
110,9099,1
110,9655,1
110,10612,1
110,10936,1
110,10964,1
110,11389,1
110,11511,1
114,9638,1
114,9864,1
114,9879,1
117,10466,1
118,9142,1
118,9345,1
118,9350,1
118,10562,1
118,10838,1
118,11100,1
119,10222,1
119,10889,1
119,11490,1
121,6724,1
121,11489,1
121,11511,1
121,11661,1
125,8214,1
130,9386,1
135,9756,0
141,9476,0
151,9167,1
151,9355,1
151,9413,1
151,9439,1
151,10938,1
151,10995,1
162,11639,1
171,4069,1
172,9108,1
172,9740,1
172,9849,1
172,10785,1
190,1969,1
190,8352,1
190,10687,1
192,1899,1
192,7720,1
192,8731,1
192,9162,1
192,9597,1
192,10165,1
193,6198,1
193,6724,1
193,9386,1
193,11534,1
195,11639,1
200,9638,1
201,1657,1
201,1962,1
201,2506,1
201,3389,1
201,4124,1
201,4278,1
201,4672,1
201,5535,1
201,6668,1
201,7663,1
201,8479,1
201,9331,1
201,9963,1
201,10515,1
201,10941,1
201,11639,1
205,9386,1
206,985,1
206,5109,1
206,9386,1
206,9545,1
206,10231,1
206,10698,1
206,10777,1
206,10840,1
206,11259,1
206,11261,1
206,11455,1
207,7863,1
207,9200,1
207,9638,1
208,4587,1
208,9075,1
208,9200,1
208,9225,1
208,9476,1
208,9655,1
208,9774,1
208,9840,1
208,10042,1
208,10066,1
208,11465,1
208,11467,1
225,10066,1
225,10687,1
231,11344,1
239,1198,1
258,10687,1
264,9638,1
292,9633,0
292,9753,1
309,1049,1
309,1220,1
309,1888,1
309,2148,1
309,4152,1
309,10727,1
343,9386,1
343,11489,1
344,837,1
344,8022,0
363,10165,1
363,10889,1
363,11085,1
383,1962,1
383,2506,1
383,3389,1
383,4124,1
383,4278,1
383,4672,1
383,5535,1
383,7663,1
383,9331,1
383,9963,1
383,10515,1
383,10941,1
383,11639,1
385,845,1
385,1538,1
385,1698,1
385,2054,1
385,3633,1
385,3731,1
385,3792,1
385,4054,1
385,4884,1
385,5109,1
385,7421,1
396,10523,1
396,11392,1
413,1657,1
413,1962,1
413,2506,1
413,3389,1
413,4124,1
413,4278,1
413,5535,1
413,6668,1
413,7663,1
413,8479,1
413,9331,1
413,9963,1
413,10515,1
413,10941,1
413,11639,1
414,1657,1
414,1962,1
414,2506,1
414,3389,1
414,4124,1
414,4278,1
414,4672,1
414,5535,1
414,6668,1
414,7663,1
414,8479,1
414,9331,1
414,9963,1
414,10515,1
414,10941,1
414,11639,1
414,11661,1
417,4151,1
417,10616,1
417,10687,1
421,1741,1
421,1944,1
421,11488,1
425,10748,0
426,7580,1
